dataAssetID,Owning organisation,Owning business unit,Name,Asset ID,Version,Emergency shutdown contact,Emergency shutdown organisation,Coverage start date,Coverage end date,Data limiting marker,Update frequency,Currently active,Used in shared dictionary,Governed as external data,Available for analytics,Usage notes available,Data location,Description,Data location type,Under review,Utilizes external data,Type
52,Cancer Institute NSW,Cancer Screening and Prevention,Extract - Aboriginal Smoking in Health Survey Data,A49,1,"Paul Crees, CI-IT",CI-IT,2018-10-04,NA,Sensitive - Health Information,Annually,No,No,No,No,TBD,TBD,"This extract holds data relating to a tobacco program evaluation. It is governed under the Cancer Institute (NSW) Act 2003, Health Records and Information Privacy Act 2002, Government Information (Public) Access Act 2009, and State Records Act 1988.",Internal Server,Yes,No,Extract
53,Cancer Institute NSW,Cancer Screening and Prevention,System - ICanQuit Web Application,A49,1,"Paul Crees, CI-IT",CI-IT,2018-10-04,NA,Sensitive - Health Information,Daily,Yes,No,No,No,TBD,TBD,"The iCanQuit web application holds information to assist people trying to give up smoking. It also records visits and interactions by allowing users to register and share stories about quitting. Data is governed under the Cancer Institute (NSW) Act 2003, Government Information (Public) Access Act 2009, Health Records and Information Privacy Act 2002, and State Records Act 1988.",Internal Server,Yes,No,System
54,Cancer Institute NSW,Cancer Screening and Prevention,Extract - Lung Campaign Evaluation Data,A50,1,"Paul Crees, CI-IT",CI-IT,2018-10-04,NA,Sensitive - Health Information,Annually,Yes,No,No,No,TBD,TBD,"This extract holds data from the Lung cancer prevention program signs and symptoms campaign evaluation. This is a one-off collection of data. It is governed under the Cancer Institute (NSW) Act 2003, Government Information (Public) Access Act 2009, Health Records and Information Privacy Act 2002, State Records Act 1988.",Internal Server,Yes,No,Extract
56,Cancer Institute NSW,Cancer Screening and Prevention,Extract - National Bowel Cancer Screening Register Data,A51,1,"Paul Crees, CI-IT",CI-IT,2018-10-04,NA,Sensitive - Health Information,Quarterly,Yes,No,No,No,TBD,TBD,"This extract holds data from the National Bowel Cancer Screening Program. It is governed under the Cancer Institute (NSW) Act 2003, Government Information (Public) Access Act 2009, Health Records and Information Privacy Act 2002, State Records Act 1990.",Internal Server,Yes,No,Extract
57,Cancer Institute NSW,Cancer Screening and Prevention,Extract - BSNSW Client Experience in Assessment Study Data,A52,1,"Paul Crees, CI-IT",CI-IT,2016-08-01,2016-09-30,Sensitive - Health Information,Annually,Yes,No,No,No,TBD,TBD,"This extract holds data relating to women's experience going through the assessment process with Breast Screening. It is governed under the Cancer Institute (NSW) Act 2003, Government Information (Public) Access Act 2009, Health Records and Information Privacy Act 2002, State Records Act 1988.",Web Resource,Yes,No,Extract
58,Cancer Institute NSW,Cancer Screening and Prevention,Extract - BreastScreen Campaign Evaluation Data,A53,1,"Paul Crees, CI-IT",CI-IT,2016-08-01,NA,Sensitive - Health Information,Monthly,Yes,No,No,No,TBD,TBD,"This extract contains evaluation data from BreastScreen Campaigns. It is governed under the Cancer Institute (NSW) Act 2003, Government Information (Public) Access Act 2009, Health Records and Information Privacy Act 2002, State Records Act 1989",Internal Server,Yes,No,Extract
59,Cancer Institute NSW,Cancer Screening and Prevention,Extract - Bowel Screen Campaign Evaluation Data,A54,1,"Paul Crees, CI-IT",CI-IT,2018-10-04,NA,Sensitive - Health Information,Annually,Yes,No,No,No,TBD,TBD,"This extract contains evaluation data for the Bowel Screening Campaigns. It is governed under the Cancer Institute (NSW) Act 2003, Government Information (Public) Access Act 2009, Health Records and Information Privacy Act 2002, State Records Act 1990.",Internal Server,Yes,No,Extract
60,Cancer Institute NSW,Cancer Screening and Prevention,Extract - NAS Reporting Data,A55,1,"Paul Crees, CI-IT",CI-IT,2018-10-04,NA,Sensitive - Health Information,Monthly,Yes,No,No,No,TBD,TBD,"The extracts holds a copy of BreastScreen Information System database, and is used for NAS reporting",Internal Server,Yes,No,Extract
61,Cancer Institute NSW,Cancer Services and Information,Extract - Mesothelioma Registry Data,A53,1,"Paul Crees, CI-IT",CI-IT,2010-07-01,NA,Sensitive - Health Information,Ad-hoc,Yes,No,No,No,"H:\Information Systems\AMR\AMR Data Dictionary
H:\Information Systems\AMR\AMR Operations Manual and H:\Information Systems\AMR\AMR SQL Report",TBD,"This extract is taken from the Australian Mesothelioma Registry (AMR). The purpose of the AMR is to  monitor the national incidence and mortality of mesothelioma and identify patterns and trends of occupational and environmental asbestos exposure. The data holds mesothelioma cases diagnosed from 1 July 2010, cause of death data, residential data, occupational data, school history for potential asbestos exposure, and Family history of mesothelioma. It holds recruitment status and completion of interviews. This data is governed under the Privacy Act (Commonwealth) 1988, Cancer Institute (NSW) Act 2003, Health Records and Information Privacy Act 2002, and State Records Act 1988.",Internal Server,Yes,No,Extract
62,Cancer Institute NSW,Cancer Services and Information,Extract - CanRefer Data,A55,1,"Paul Crees, CI-IT",CI-IT,2018-10-05,NA,Sensitive - Personal,Daily,Yes,No,No,No,TBD,TBD,This extract is taken from the source tables in the CanRefer web application database. CanRefer is a service that provides information from specialist doctors who manage the day-to-day care of a person being diagnosed with and treated for cancer. They regularly attend multidisciplinary team meetings to discuss diagnosis and treatment for their patients.,Internal Server,Yes,No,Extract
63,Cancer Institute NSW,Cancer Services and Information,Extract - NSWCR Application,A56,1,"Paul Crees, CI-IT",CI-IT,1972-01-01,NA,Sensitive - Health Information,Monthly,Yes,No,No,No,TBD,TBD,"This extract is drawn from the NSWCR Application. The NSWCR application contains demographic, clinical and death details for people diagnosed or treated with cancer in NSW. Data is received from pathology laboratories, hospitals, radiation oncology and medical oncology departments, aged care facilities and the NSW Registry of Births, Deaths and Marriages. As of 1 January 2018, coded cancer notifications are available from 1972 to 2013 and are included in this extract.",Internal Server,Yes,No,Extract
64,Cancer Institute NSW,Cancer Services and Information,System - eviQ Protocols Web Application,A56,1,"Paul Crees, CI-IT",CI-IT,2016-01-01,NA,Sensitive - Personal,Daily,Yes,No,No,No,TBD,TBD,"The eviQ web application eviQ is an Australian Government, freely available online resource of cancer treatment protocols developed by multidisciplinary teams of cancer specialists. With a goal to improve patient outcomes and reduce treatment variation, eviQ provides evidence-based information to support health professionals in the delivery of cancer treatments available at the time treatment decisions are being made.",Internal Server,Yes,No,System
65,Cancer Institute NSW,Cancer Services and Information,"Extract - APDC, Cancer Diagnosis and Death Data",A56,1,"Paul Crees, CI-IT",CI-IT,2018-01-01,NA,Sensitive - Health Information,Ad-hoc,Yes,No,Yes,No,TBD,TBD,"This extract is a subset taken from  Admitted Patient, Emergency Department Attendance and Deaths Register (APEDDR) held on Saphari. The subset consists of APDC admissions with a cancer diagnosis, and death data.  APEDDR a Public Health Register containing administrative records of people attending hospital, and deaths in NSW. Established in 2013, it provides data on patient hospital attendances, patient demographics, their presenting conditions and diagnoses and some financial data (NWAUs). The Register is used to identify and monitor: diseases and conditions and their risk factors that are associated with hospitalisations, emergency department attendances and deaths​; risk factors in the community that can increase the likelihood of an emergency department attendance, hospitalisation or death, regardless of the disease or condition . The Register also seeks to improve the reporting of Aboriginal people through linkage of relevant data collections in NSW.",Internal Server,Yes,No,Extract
66,Cancer Institute NSW,Cancer Services and Information,System - Patient Recruitment Web Application,A55,1,"Paul Crees, CI-IT",CI-IT,2018-10-05,NA,Sensitive - Health Information,Daily,Yes,No,No,No,TBD,TBD,"The Patient Recruitment Web Application is an house application used to track patient recruitment into studies. This data is not currently being used for analytics. Data in the system is governed under the Cancer Institute (NSW) Act 2003, the Government Information (Public) Access Act 2009, the Health Records and Information Privacy Act 2002, and the State Records Act 1988.",Internal Server,Yes,No,System
68,Cancer Institute NSW,Cancer Services and Information,Analytics - Prostate Clinical Cancer Registry Dataset,A55,1,"Paul Crees, CI-IT",CI-IT,2018-01-01,NA,Sensitive - Health Information,Ad-hoc,Yes,Yes,No,Yes,TBD,TBD,"This analytics data is derived from the NSW Prostate Clinical Cancer Registry (PCCR) is the NSW arm of the Prostate Cancer Outcomes Registry Australia and New Zealand; a national initiative funded by the Movember Foundation to establish a population-based clinical registry to improve the health outcomes for men living with prostate cancer in Australia and New Zealand. The Cancer Institute NSW has established the NSW Prostate Clinical Cancer Registry in partnership with the NSW Agency for Clinical Innovation. This data helps to guide best clinical practices and processes, and improve quality of patient care in NSW. Information collected by the PCCR is used to monitor care provided, including treatment, complications and both short and longer term outcomes of care. This information will be used to help identify trends and discover whether gaps exist in service provision. The collection of this data is governed under the Cancer Institute (NSW) Act 2003, Government Information (Public) Access Act 2009, Health Records and Information Privacy Act 2002, and State Records Act 1988 and Privacy Act (Commonwealth) 1988.",Internal Server,Yes,No,Analytics
69,Cancer Institute NSW,Strategic Research and Investment,Extract - Grants Management Data,A66,1,"Paul Crees, CI-IT",CI-IT,2018-10-05,NA,Sensitive - Health Information,Weekly,Yes,No,No,No,TBD,TBD,"This extract is taken from the Grants Management System operated by F1 Solutions Omnistar. This data holds information pertaining to all grant applications coming into the Cancer Institute. The extract consists of a copy of source tables is taken from the source system on a quarterly basis. The collection of this data is governed under the Cancer Institute (NSW) Act 2003, Government Information (Public) Access Act 2009, and State Records Act 1988.",Internal Server,Yes,No,Extract
70,Cancer Institute NSW,Strategic Research and Investment,Extract - Clinical Trials Data,A55,1,"Paul Crees, CI-IT",CI-IT,2018-10-05,NA,Sensitive - Health Information,Monthly,Yes,No,No,No,TBD,TBD,"This extract is taken from the Clinical Trials Application which tracks and monitors recruitment of participants to clinical trials in NSW. The collection of this information is governed under the Cancer Institute (NSW) Act 2003, the Government Information (Public) Access Act 2009, the Privacy and Personal Information Protection Act 1998, and the State Records Act 1988.",Internal Server,Yes,No,Extract
71,Cancer Institute NSW,Strategic Research and Investment,Extract - Ethics Register Data,A55,1,"Paul Crees, CI-IT",CI-IT,2000-12-01,NA,Sensitive - Health Information,Monthly,Yes,No,No,No,TBD,TBD,"This extract is a monthly snapshot taken from Ethics Register, which holds application and project information held by the NSW Population & Health Services Research Committee (PHSREC). The PHSREC undertakes scientific and ethical review of population health and/or public health research which utilises or links to routinely collected health (and other) statewide data. The Committee reviews submissions that seek to access data held by the NSW Ministry of Health or Cancer Institute NSW for the purposes of research. This committee has been certified under the National Approach to Single Ethical Review process, administered through the National Health and Medical Research Council and is accredited in NSW as a lead Human Research Ethics Committee (HREC) for multi-centre ethical review processes for population health and/or public health research.",Internal Server,Yes,No,Extract
72,Cancer Institute NSW,Cancer Screening and Prevention,Reporting - Breastscreen NSW Dataset,A5,1,"Paul Crees, CI-IT",CI-IT,2018-10-08,NA,Sensitive - Health Information,Annually,Yes,No,No,No,TBD,TBD,This report is derived from data taken out of the BreastScreen Information System (BIS) and provided the CHeReL on an annual basis. BIS is jointly funded by the Commonwealth and state and territory government. It is the central data holder for the results of all mammograms that have taken place in NSW as part of this program. BreastScreen NSW collects information on breast screening services within the prgram for women aged 40 years and over in NSW. Data is collected in the BIS System and PACS datastore.,Internal Server,Yes,No,Reporting
73,Cancer Institute NSW,Cancer Services and Information,Analytics - NSWCR Minimum Dataset (Notifications),A66,1,"Paul Crees, CI-IT",CI-IT,2018-10-08,NA,Sensitive - Health Information,Quarterly,Yes,Yes,No,Yes,TBD,TBD,"This analytics dataset holds notification data elements from the NSWCR application, and currently includes incidence, mortality and a small amount of clinical items. The NSWCR application contains demographic, clinical and death details for people diagnosed or treated with cancer in NSW. Data is received from pathology laboratories, hospitals, radiation oncology and medical oncology departments, aged care facilities and the NSW Registry of Births, Deaths and Marriages. As of 1 January 2018, coded cancer notifications are available from 1972 to 2013. More recent cancer notifications are not yet coded and are available from the NSW Cancer Registry workflow. The NSW Cancer Registry is held by Cancer Institute NSW.",Internal Server,Yes,No,Analytics
74,Cancer Institute NSW,Cancer Services and Information,"Analytics - APDC, Cancer Diagnosis and Death Dataset",A68,1,"Paul Crees, CI-IT",CI-IT,2018-10-15,NA,Sensitive - Health Information,Quarterly,Yes,Yes,No,Yes,"This analytics dataset is derived from a subset taken from  Admitted Patient, Emergency Department Attendance and Deaths Register (APEDDR) held on Saphari. The subset consists of APDC admissions with a cancer diagnosis, and death data.  APEDDR a Public Health Register containing administrative records of people attending hospital, and deaths in NSW. Established in 2013, it provides data on patient hospital attendances, patient demographics, their presenting conditions and diagnoses and some financial data (NWAUs). The Register is used to identify and monitor: diseases and conditions and their risk factors that are associated with hospitalisations, emergency department attendances and deaths​; risk factors in the community that can increase the likelihood of an emergency department attendance, hospitalisation or death, regardless of the disease or condition . The Register also seeks to improve the reporting of Aboriginal people through linkage of relevant data collections in NSW.",TBD,"This analytics dataset is derived from a subset taken from  Admitted Patient, Emergency Department Attendance and Deaths Register (APEDDR) held on Saphari. The subset consists of APDC admissions with a cancer diagnosis, and death data.  APEDDR a Public Health Register containing administrative records of people attending hospital, and deaths in NSW. Established in 2013, it provides data on patient hospital attendances, patient demographics, their presenting conditions and diagnoses and some financial data (NWAUs). The Register is used to identify and monitor: diseases and conditions and their risk factors that are associated with hospitalisations, emergency department attendances and deaths​; risk factors in the community that can increase the likelihood of an emergency department attendance, hospitalisation or death, regardless of the disease or condition . The Register also seeks to improve the reporting of Aboriginal people through linkage of relevant data collections in NSW.",Internal Server,Yes,Yes,Analytics
